timestamps,AMK_Torque_FL,AMK_Torque_FR,AMK_Torque_RL,AMK_Torque_RR,DCM_APPS_Throttle,DCM_Brake_Recu,DCM_SteeringAngle,Gyro_Mov_Acc_Y,Gyro_Mov_Acc_X,HV_CurrentSensor_W,Velocity
85.65045999999995,57.6,89.60000000000001,135.6,169.4,48,0,26.59,-14.05078125,-7.62109375,39619,47.90334018
85.66712999999996,59.5,89.4,133.70000000000002,195.5,48,0,29,-13.63671875,-8.2734375,39619,48.19847151
85.68379999999995,58.1,93.30000000000001,134.4,212,47.5,0,31.62,-14.6328125,-9.1640625,39695,48.58469811
85.70046999999995,53.900000000000006,91.2,125.5,219.20000000000002,47.5,0,33.980000000000004,-13.265625,-7.453125,41828,48.91502717
85.71713999999994,50.1,93.30000000000001,122,222.5,47.5,0,35.13,-9.67578125,-7.09765625,41828,49.25040054
85.73380999999995,51.800000000000004,93.9,120.9,221.10000000000002,47.71,0.762,36.56,-13.53125,-7.55078125,42556,48.89163799
85.75047999999995,49.800000000000004,97.4,102.5,224.10000000000002,46.25,0.318,38.06,-14.85546875,-7.66796875,42556,49.23979907
85.76714999999994,46.300000000000004,94.10000000000001,114,217.20000000000002,45.5,0.19,39.63,-15.66015625,-6.61328125,43110,49.50977886
85.78381999999995,48.900000000000006,92.80000000000001,110.7,218.9,45.5,0,41.33,-16.796875,-5.7265625,43110,49.70476115
85.80048999999995,48.300000000000004,96,109,225.5,45.38,0,43.09,-15.6953125,-6.11328125,42653,49.95269207
85.81715999999994,42.5,95.7,102.60000000000001,225.60000000000002,44.53,0,43.7,-14.8515625,-4.8984375,42741,50.20188812
85.83382999999995,42.6,93.4,102.60000000000001,221.60000000000002,46.08,0,43.47,-15.6015625,-5.8828125,42741,50.35540717
85.85049999999995,45,97.7,107.30000000000001,224.60000000000002,47.74,0,41.97,-18.84765625,-6.765625,42994,50.61874961
85.86716999999994,49,98.2,113,232.3,48.96,0,38.86,-19.05078125,-7.5390625,42994,50.86147893
85.88383999999995,50.900000000000006,100.2,118,235.70000000000002,48.5,0,34.58,-15.40234375,-6.890625,45527,51.08556127
85.90050999999995,54.300000000000004,95,129.70000000000002,223,47.870000000000005,0,30.14,-15.83984375,-8.93359375,45527,51.38492149
85.91717999999995,57.800000000000004,90.5,128.5,206.60000000000002,46.11,0,25.8,-15.10546875,-7.546875,47740,51.70121682
85.93384999999995,58.6,83.10000000000001,82.7,161.70000000000002,43.910000000000004,0,22.09,-17.01171875,-7.61328125,47740,51.99231651
85.95051999999995,57.400000000000006,79.5,88.60000000000001,188.10000000000002,43.5,0,19.53,-20.57421875,-4.91015625,43854,52.10590253
85.96718999999995,56.2,77.30000000000001,91,145.70000000000002,43.5,0,17.900000000000002,-17.19140625,-4.5390625,36014,52.24498668
85.98385999999995,56.7,76.9,112.4,130.3,43.5,0,16.8,-12.07421875,-4.75390625,36014,52.29888936
86.00052999999996,60.900000000000006,77,137.9,131.5,44.5,0.39,15.68,-15.9140625,-8.23046875,36911,52.50129239
86.01719999999995,61.400000000000006,76.10000000000001,119.30000000000001,161.3,44.5,0.004,13.200000000000001,-20.81640625,-7.30078125,36911,52.80583908
86.03386999999995,63.2,74.10000000000001,145.4,186.70000000000002,44.79,0,11.94,-17.140625,-6.2421875,41022,53.01475215
86.05053999999996,63.900000000000006,73.8,149.5,185.60000000000002,44.13,0,11.4,-12.2734375,-4.4453125,41022,53.25342309
86.06720999999995,60.900000000000006,70.9,149.3,151,41.61,0,11.21,-7.29296875,-4.16015625,43330,53.59777937
86.08387999999995,60.800000000000004,69.10000000000001,139.70000000000002,157.8,40.5,0,10.94,-4.76171875,-8.10546875,43375,53.89325387
86.10054999999996,59.7,67,140.1,156.60000000000002,40.5,0,10.13,-10.88671875,-6.87109375,43375,54.24801444
86.11721999999995,60.5,66,138.6,153.8,39.1,0,8.21,-10.0546875,-6.44921875,42186,54.50810755
86.13388999999995,57.5,61.900000000000006,135.6,151.4,36.410000000000004,0,6.58,-3.84375,-5.21484375,42186,54.8957638
86.15055999999996,54.6,55.5,125.30000000000001,127.80000000000001,34.24,0,5.25,-0.84765625,-5.39453125,39848,55.23512278
86.16722999999995,51.5,53.400000000000006,122.30000000000001,125.10000000000001,32.1,0,2.81,-1.61328125,-6.80859375,39848,55.58755235
86.18389999999995,50,51.6,113.60000000000001,114,31.5,0.28200000000000003,-1.2,-3.1484375,-4.8203125,36574,55.94058965
86.20056999999996,48.1,48.2,113.9,116,31.5,2.932,-6.21,-0.515625,-5.44921875,36574,56.2024205
86.21723999999995,51.1,46.1,120.60000000000001,104.60000000000001,31.96,5.498,-11.2,3.88671875,-3.7578125,34329,56.47029363
86.23390999999995,54.2,44.5,122.9,103.80000000000001,30.900000000000002,7.214,-16.24,6.09375,-4.76171875,33902,56.6760273
86.25057999999996,52.1,41.2,125.7,96.60000000000001,29.37,7.15,-21.77,3.78125,-3.7578125,33902,56.88354778
86.26724999999995,53.2,38.6,121.30000000000001,89.60000000000001,27.59,6.482,-27.35,7.109375,-1.81640625,33788,57.14371582
86.28391999999995,47.1,35,116.5,80.5,25.6,3.144,-32.53,12.83203125,-2.1953125,33788,57.32341431
86.30058999999996,46.7,29.8,110.80000000000001,68.9,24.12,2.504,-37.02,13.9921875,-1.8984375,31057,57.5325044
86.31725999999995,47.5,26.900000000000002,112.30000000000001,63.1,24.5,3.852,-41.38,13.38671875,-2.3203125,31057,57.75146711
86.33392999999995,51.7,26.1,116,57.900000000000006,25,6.206,-45.24,11.4375,-2.171875,27510,57.98019058
86.35059999999994,49.300000000000004,25.700000000000003,119.7,60.900000000000006,25,6.002,-47.3,13.0078125,-3.12109375,27510,58.21855978
86.36726999999995,50.2,26.3,120.7,61.400000000000006,25,3.778,-47.97,16.23828125,-4.0390625,27620,58.46645673
86.38393999999995,53.300000000000004,25.8,122.4,58,24.400000000000002,1.824,-47.53,22.19921875,-1.08984375,28583,58.76819532
86.40060999999994,51.6,24.200000000000003,118.60000000000001,55.6,22,0.452,-46.1,17.76953125,-0.81640625,28583,58.93625794
86.41727999999995,46,21.6,106.10000000000001,33.800000000000004,22,0.10200000000000001,-44.27,20.87890625,-0.5,27922,59.09508922
86.43394999999995,45.300000000000004,22.5,105,58.2,23.19,0.854,-41.24,20,-0.66015625,27922,59.18825897
86.45061999999994,50.1,23.8,107.7,54,26.39,1.236,-37.52,18.6171875,-1.125,24121,59.38596247
86.46728999999995,51.6,28.1,121.60000000000001,65.5,27.97,1.538,-33.16,22.9453125,-2.78125,24121,59.64688572
86.48395999999995,52.800000000000004,31.900000000000002,72.10000000000001,74.3,28.8,0.342,-28.69,24.1796875,-3.57421875,27061,59.6621877
86.50062999999994,52.300000000000004,33.300000000000004,85.9,82.9,29,0,-24.75,20.421875,-2.484375,28834,59.83159962
86.51729999999995,56.2,35.7,105.7,85.30000000000001,29.46,0,-20.46,22.79296875,-5.51171875,28834,60.14861185
86.53396999999995,53.300000000000004,37.9,134.6,87.60000000000001,29.59,0,-17.25,19.81640625,-4.3046875,29589,60.40946221
86.55063999999994,49.5,38.7,81.4,90.4,29.5,0,-15.66,17.71484375,-3.7421875,29589,60.76158744
86.56730999999995,49.1,39.800000000000004,67.8,87.80000000000001,29.97,0,-15.19,18.54296875,-4.00390625,31072,61.02451
86.58397999999995,50.1,41.400000000000006,88.4,98.2,30.5,0,-15.21,22.79296875,-3.4375,31072,61.28442018
86.60064999999994,55.2,39.900000000000006,105.9,94,30.63,0,-15.33,18.26953125,-3.81640625,29145,61.51559254
86.61731999999995,54.2,38.2,93.80000000000001,96.30000000000001,32.4,0,-15.79,14.453125,-3.36328125,29145,61.77768768
86.63398999999995,52.2,45.400000000000006,70.7,104.2,33.6,0.37,-16.81,16.3828125,-4.44921875,31901,62.06824936
86.65065999999995,60.400000000000006,46.7,103.5,107.60000000000001,34.5,0,-18.1,17.890625,-7.5546875,34775,62.32972117
86.66732999999995,61.400000000000006,45.1,155.10000000000002,112,34.5,0,-18.99,17.1796875,-3.9140625,34775,62.63828358
86.68399999999995,59.6,46.6,122.60000000000001,104.80000000000001,34.19,0,-19.36,12.7734375,-4.1484375,37650,63.06929504
86.70066999999995,62.900000000000006,46.800000000000004,140.4,110.30000000000001,34.89,0,-19.5,12.5390625,-4.95703125,37650,63.39914019
86.71733999999995,62,46.1,142.3,109,36.93,0,-19.58,16.984375,-7.51171875,39393,63.87169543
86.73400999999996,62.1,47.900000000000006,152.4,116.80000000000001,37,0,-19.23,14.765625,-6.3671875,39393,63.91901126
86.75067999999995,64,51,152.70000000000002,118.80000000000001,37.230000000000004,0,-18.46,12.59765625,-5.68359375,41249,64.3190403
86.76734999999995,63.2,48.900000000000006,152.6,114.80000000000001,36.5,0.128,-17.47,12.29296875,-4.79296875,41249,64.67218841
86.78401999999996,64.60000000000001,50.5,150.6,114.80000000000001,36.69,1.3780000000000001,-15.66,15.5625,-4.83984375,43376,65.04261223
86.80068999999995,63.900000000000006,49.900000000000006,148.9,114.4,34.83,1.568,-12.06,13.6953125,-6.37890625,43289,65.39523976
86.81735999999995,58.900000000000006,46.7,135.3,115.9,29.22,0.848,-6.46,8.8046875,-6.203125,43289,65.81858145
86.83402999999996,43.2,40.5,105.7,94.5,25.09,1.346,0.3,9.09765625,-4.1171875,41707,66.09956623
86.85069999999995,40.800000000000004,35.300000000000004,89.9,87.9,23,1.724,8.27,7.42578125,-4.16015625,41707,66.33532713
86.86736999999995,33,36,83,82.10000000000001,23,0.9520000000000001,15.620000000000001,1.66015625,-2.23046875,31850,66.55708605
86.88403999999996,33.800000000000004,37.2,79.9,86,23.3,0,21.46,-3.09765625,-2.9453125,31850,66.73566472
86.90070999999995,30.3,38.6,76.4,90.2,23.37,0.776,26.2,-1.4609375,-0.97265625,27765,66.78865015
86.91737999999995,32.1,40,75.10000000000001,93.7,22.05,1.686,30.87,-8.734375,-3.12890625,27900,66.89901204
86.93404999999996,28.400000000000002,39.5,67.4,90.10000000000001,19.38,2.064,34.25,-8.60546875,-1.21484375,27900,66.91717128
86.95071999999995,23.200000000000003,33.800000000000004,56.7,80.10000000000001,18.5,0.154,35.92,-13.34765625,-1.14453125,26785,66.92381425
86.96738999999995,21.8,32.7,56.6,78.2,18.97,0.914,36.38,-14.61328125,-0.546875,26785,66.9174077
86.98405999999996,26.200000000000003,33.800000000000004,54.900000000000006,82.5,18.3,1.34,36.31,-15.67578125,-1.44921875,22957,66.87176394
87.00072999999995,24.1,33.2,56.800000000000004,76.9,18.36,0.10200000000000001,36.08,-20.52734375,-1.34765625,22957,66.83354586
87.01739999999995,23.700000000000003,33.1,52.800000000000004,77.5,17.52,0,34.69,-24.9296875,-0.6953125,22901,66.80586847
87.03406999999994,23.700000000000003,32.5,52,73.5,17.8,0,32.13,-18.58203125,0.234375,22615,66.63500453
87.05073999999995,25.3,33.7,52.800000000000004,76.3,19.18,0.072,30.45,-19.87890625,-1.16796875,22615,66.60693587
87.06740999999995,26.1,33.1,56.5,77.9,23.37,0.016,29.5,-20.62109375,-0.41796875,22203,66.49216354
87.08407999999994,30.1,40.900000000000006,70.4,94,32.26,0.026000000000000002,28.72,-24.328125,-1.33984375,22203,66.35640629
87.10074999999995,37.7,54.5,94.2,126.80000000000001,42,0,27.8,-19.7109375,-1.80859375,26321,66.31626904
87.11741999999995,51.6,71.3,126.80000000000001,165.5,48.38,0,27.560000000000002,-19.69921875,-4.578125,26321,66.37550053
87.13408999999994,66.2,83.60000000000001,152.5,142.20000000000002,49.5,0,27.55,-18.5625,-7.2734375,42213,66.63101579
87.15075999999995,71.3,85.9,160.3,156,49.86,0,26.77,-23.0703125,-8.671875,42213,66.9398634
87.16742999999995,71.10000000000001,85.2,158.60000000000002,151.70000000000002,50.44,0,25.7,-21.43359375,-4.66796875,51808,67.11476004
87.18409999999994,67.5,86.60000000000001,156.5,131.1,54.42,0,24.91,-13.59765625,-5.48828125,51808,67.3991434
87.20076999999995,72,92.7,71,145.8,55.86,0,24.79,-15.0078125,-7.4296875,56257,67.58247305
87.21743999999995,78.60000000000001,94.9,189.60000000000002,165.60000000000002,55.97,0.726,25.490000000000002,-24.80859375,-8.84765625,54569,67.85690021
87.23410999999994,78.9,94.5,186.3,175.10000000000002,55.69,0,27.38,-25.64453125,-6.421875,54569,68.17467512
87.25077999999995,69.2,94.7,181,203.10000000000002,56.13,0,30.42,-23.484375,-5.1171875,62170,68.43496228
87.26744999999995,4.800000000000001,96.60000000000001,180.60000000000002,179.4,56.5,0,32.52,-16.28515625,-4.86328125,62170,68.6003055
87.28411999999994,24.6,97.80000000000001,176.5,151,57.800000000000004,0,33.38,-12.79296875,-6.22265625,64099,68.76635544
87.30078999999995,19.200000000000003,98.10000000000001,187.4,201,58.28,1.3820000000000001,34.480000000000004,-14.80078125,-8.49609375,64099,69.05502561
87.31745999999995,17.5,97.30000000000001,188.8,200.9,57.57,1.074,38.11,-19.1640625,-7.00390625,58471,69.44467447
87.33412999999994,33.2,101.4,177.4,196.5,53.44,0.46,38.29,-15.72265625,-6.3203125,62900,69.790724
87.35079999999995,56.800000000000004,92.4,160.70000000000002,200.4,51.22,0,37.6,-6.41015625,-3,62900,70.01487007
87.36746999999995,66.60000000000001,89.80000000000001,160.70000000000002,194.60000000000002,50.97,0,37.28,-9.61328125,-5.1640625,63791,70.22604685
87.38413999999995,76.4,86.80000000000001,167.60000000000002,189.20000000000002,51,0,36.96,-12.91796875,-8.9453125,63791,70.54835443
87.40080999999995,71,91.2,40.6,193.9,50.5,0,35.68,-13.765625,-9.171875,67560,71.02228001
87.41747999999995,70.8,83.9,105.4,188.70000000000002,50.5,0,35.53,-17.96875,-5.33984375,67560,71.3492171
87.43414999999995,71.9,86.60000000000001,104.10000000000001,194.70000000000002,52.71,0,35.45,-17.75390625,-6.69921875,59713,71.56859281
87.45081999999995,71.8,89.2,169,190.20000000000002,54,3.332,35.31,-22.66796875,-5.3125,59901,71.88091959
87.46748999999996,73.10000000000001,93,171,189.60000000000002,54,13.314,35.32,-17.3515625,-4.7109375,59901,72.06083855
87.48415999999995,76.4,91.7,182.9,187.20000000000002,54,9.644,35.35,-20.71484375,-5.65234375,68311,72.32597352
87.50082999999995,78,92.10000000000001,171.60000000000002,186.5,52.07,2.352,35.14,-24.55078125,-6.70703125,68311,72.52588466
87.51749999999996,69.9,88.80000000000001,164.60000000000002,186.3,49.07,0.25,35.06,-18.83984375,-5.4375,70162,72.73962394
87.53416999999995,68.2,82.30000000000001,159.20000000000002,142.8,47.18,0.214,34.910000000000004,-21.6953125,-6.47265625,70162,72.84548743
87.55083999999995,66.7,80.10000000000001,153.60000000000002,167.9,45.14,0.056,34.15,-21.69140625,-7.64453125,67688,73.07050373
87.56750999999996,60.6,74.7,125.5,142,40.58,1.8760000000000001,32.63,-18.95703125,-3.05078125,67688,73.27337111
87.58417999999995,54.1,67.5,63.1,86.60000000000001,39,3.458,31.03,-14.89453125,-1.79296875,60701,73.27127677
87.60084999999995,58,65.2,141.5,88.2,39.14,1.616,30.150000000000002,-16.05859375,-5.27734375,60701,73.30618179
87.61751999999996,55.1,65.3,133.4,118.2,37.09,0,29,-21.96875,-4.55859375,44979,73.4575252
87.63418999999995,51.300000000000004,62.7,121.10000000000001,130.70000000000002,34.18,0,25.44,-18.79296875,-1.0625,49672,73.45522073
87.65085999999995,48.6,55.7,114.60000000000001,120.7,35,0,21.48,-18.14453125,-0.79296875,49672,73.44246951
87.66752999999994,53.900000000000006,59.300000000000004,121.60000000000001,86.7,38.38,0,17.72,-17.44140625,-5.296875,46201,73.52036389
87.68419999999995,58.300000000000004,59.5,128.9,73.9,41.75,0,13.5,-21.640625,-3.65234375,46201,73.6323028
87.70086999999995,62.2,67.7,146.20000000000002,120.2,45.410000000000004,0,8.040000000000001,-19.27734375,-5.7578125,46266,73.72486886
87.71753999999994,71.9,69.10000000000001,162.60000000000002,129.8,46.5,0,3.48,-20.5078125,-8.6171875,46266,74.07185305
87.73420999999995,70.3,74.10000000000001,135,142.70000000000002,45.07,0,-1.14,-13.859375,-5.64453125,53114,75.09360253
87.75087999999995,67.5,68.3,126.7,137.9,42.35,0,-2.43,-10.03125,-5.03515625,53733,75.35069104
87.76754999999994,64.3,64.7,113.7,147.8,41.03,0,-1.24,-14.86328125,-6.4453125,53733,75.60602655
87.78421999999995,65.5,64.60000000000001,156.10000000000002,158.10000000000002,40.18,0,1.68,-17.28515625,-8.55078125,53660,75.93679166
87.80088999999995,59.900000000000006,61.6,142.4,107,39.5,0,6.33,-6.0859375,-3.16015625,53660,76.13931516
87.81755999999994,62.900000000000006,64.2,146,133.9,39.980000000000004,0.064,12.780000000000001,-6.8359375,-6.10546875,55633,76.34797394
87.83422999999995,61.5,61.5,141.3,154.20000000000002,40.94,0,17.97,-11.58203125,-5.61328125,55633,76.57658161
87.85089999999995,60.800000000000004,63.5,142.9,152.4,42.79,0,20.36,-9.71484375,-5.0078125,55323,76.81044088
