timestamps,DCM_APPS_Throttle,DCM_Brake_Recu,DCM_SteeringAngle,Gyro_Movella_Acc_Y,Gyro_Movella_Acc_X,HV_CurrentSensor_W,Groundspeed_Vel,AMK_Torque_FL,AMK_Torque_RL,AMK_Torque_RR,AMK_Torque_FR
1.799928,48.5,0,1.6400000000000001,-0.27734375,-9.95703125,1633,2.1,8.34375,12.34375,12.84375,8.65625
1.816594,51.77,0,1.78,-0.09375,-9.71875,1633,2.7,8.9375,13.28125,13.8125,9.28125
1.8332600000000001,56,0,2,0.19921875,-10.0859375,3136,3.5,9.46875,14.03125,14.65625,9.78125
1.849926,60.89,0,2.15,-0.203125,-10.35546875,4619,4.1000000000000005,10.3125,15.1875,15.8125,10.6875
1.866592,67.25,0,2.75,0.01171875,-11.35546875,4619,5.4,11.34375,16.90625,17.65625,11.90625
1.883258,73.57000000000001,0,3.18,0.08203125,-12.46875,6937,7.9,12.40625,18.53125,19.71875,13.1875
1.899924,78.92,0,3.29,-0.375,-13.94921875,6937,11.4,13.21875,19.71875,21,14.25
1.91659,81,0,3.45,-0.1171875,-12.6328125,12892,15.5,13.78125,20.59375,22.4375,14.84375
1.933256,82,0,3.93,-0.609375,-12.04296875,12892,20.400000000000002,14.09375,21.0625,22.4375,15.1875
1.949922,82.43,0,4.15,-0.61328125,-12.83203125,22243,25,14.09375,20.96875,22.40625,15.3125
1.966588,82.5,0,4.01,-0.68359375,-13.25,22243,30,14.15625,21,22.46875,15.34375
1.983254,82.5,0,3.92,-0.5703125,-14.28125,22109,34.800000000000004,14.125,21.1875,22.3125,15.28125
1.99992,83,0,3.8000000000000003,-0.546875,-13.91796875,33585,39.2,14.25,21.46875,22.5,15.1875
2.016586,83.79,0,3.73,-0.48828125,-13,33585,42.800000000000004,14.5,21.6875,22.5,15.3125
2.033252,85,0,3.8000000000000003,-0.4765625,-14.203125,45653,47.300000000000004,14.9375,22.125,22.5,15.71875
2.049918,86,0,3.8000000000000003,-1.08203125,-12.359375,45653,51.800000000000004,15.28125,22.46875,22.4375,16
2.066584,87,0,4.0200000000000005,-0.91796875,-11.8203125,49319,56.7,15.5,22.4375,22.40625,16.125
2.08325,87,0,4.07,0.73046875,-12.56640625,49319,61.900000000000006,15.5625,22.46875,22.46875,15.96875
2.099916,87,0,4.91,0.73828125,-10.5,61196,66.8,8.15625,22.25,22.34375,3.84375
2.116582,87.27,0,5.75,-0.54296875,-16.02734375,61196,67.3,4.71875,20.59375,20.9375,8.96875
2.133248,87,0,5.6000000000000005,-1.33203125,-4.171875,76758,67.3,6.84375,22.03125,22.40625,2.71875
2.149914,88,0,5.45,-1.265625,-15.3125,35831,68.3,6.875,13.96875,15.59375,8.9375
2.16658,87.79,0,4.54,-0.3984375,-12.15234375,35831,68.9,6.71875,20.40625,21.0625,3.34375
2.183246,88,0,3.93,0.09765625,-13.11328125,42433,68.7,7.75,17.875,18.4375,7.4375
2.199912,88,0,3.06,-0.35546875,-12.78125,42433,69.3,3.625,19.25,19.53125,6.90625
2.216578,88,0,2.54,-2.1875,-11.36328125,44245,68.8,12.59375,16.875,17.59375,7.25
2.233244,87.81,0,2.5300000000000002,-0.76953125,-10.73046875,44245,69.7,5.5625,17.90625,17.9375,6.34375
2.24991,88,0,1.1500000000000001,0.75,-15.7578125,43785,70.2,11.03125,16.5,18.34375,7.5625
2.266576,87.77,0,1.06,0.02734375,-12.06640625,43785,70.2,4.6875,17.25,17.375,8.34375
2.283242,87.39,0,-0.14,1.203125,-8.7734375,49256,70.7,9.3125,17.4375,17.1875,6
2.299908,87.96000000000001,0,-0.58,-0.578125,-12.34375,49256,71.2,11.21875,14.5,14.40625,8.0625
2.316574,87.27,0,-0.78,-1.55078125,-11.53515625,51800,71.60000000000001,4.09375,19.15625,19.1875,5.84375
2.33324,87.07000000000001,0,-1.4,0.171875,-11.37109375,49713,71.5,11.5,15.3125,15.375,6.875
2.349906,87,0,-0.41,0.41796875,-11.28515625,49713,72.4,4.53125,17.0625,16.40625,7
2.366572,87,0,-0.32,-0.60546875,-9.6015625,46063,72.2,10.5,16.59375,16.125,5.71875
2.383238,87.41,0,0.63,-0.17578125,-9.98828125,46063,72.9,6.46875,16.96875,16.84375,9.5625
2.3999040000000003,87,0,1.32,0.91015625,-14.61328125,46096,73.5,8.1875,18.3125,18.34375,9.1875
2.41657,86,0,1.95,-0.4140625,-10.21484375,46096,73.9,10.71875,14.78125,14.9375,9.40625
2.433236,86,0,2.86,0.03515625,-11.796875,46030,74.2,2.9375,17.40625,17.5625,8.46875
2.4499020000000002,86.5,0,2.79,-2.0390625,-7.5078125,46030,73.9,11.625,13.125,13.4375,6.15625
2.466568,86.2,0,3.38,-0.71484375,-14.25390625,52769,75,5,15.46875,15.59375,8.96875
2.483234,86.5,0,2.79,-1.3359375,-11.953125,52786,74.7,11.78125,15.65625,15.875,6.40625
2.4999000000000002,86.47,0,2.64,-0.0234375,-8.62890625,52786,74.7,8.125,13.71875,13.8125,13.28125
2.516566,86,0,2.52,0.046875,-12.76953125,52329,76,7.40625,17.75,17.875,7.125
2.533232,86,0,1.69,-1.02734375,-7.98828125,52329,75.8,11.0625,13.96875,14.0625,11.125
2.549898,86,0,1.23,-0.73828125,-13.53515625,61413,76.9,4.59375,17.25,17.3125,4.4375
2.566564,86.5,0,0.25,-0.0625,-12.73046875,61413,76.5,12.65625,14.375,14.5,10.6875
2.58323,86.5,0,-0.18,0.40625,-8.23828125,58152,77.5,4.1875,15.28125,15.34375,5.5
2.599896,86.52,0,-1.47,-0.40625,-12.703125,58152,77.30000000000001,12.09375,13.65625,13.84375,7
2.616562,86.5,0,-3.16,-2.421875,-5.046875,58152,77.30000000000001,13.25,14.71875,14.71875,4.71875
2.633228,86.08,0,-4.71,-0.28515625,-13.31640625,50534,77.80000000000001,4.65625,16.75,16.59375,5.96875
2.649894,86.03,0,-7.68,1.94921875,-7.77734375,50534,76.60000000000001,12.96875,11.84375,11.65625,9.40625
2.66656,86,0,-8.25,2.64453125,-15.44921875,51135,78.9,9.34375,14.84375,14.375,10.375
2.683226,86.5,0,-8.61,0.05078125,-11.4765625,51135,78.4,13.4375,14.75,14.25,7.4375
2.699892,86.5,0,-9.14,-1.0546875,-12.11328125,65997,77.7,13.4375,13.59375,13.5,10.9375
2.716558,87,0,-9.79,0.5859375,-14.87890625,65997,78.10000000000001,13.75,15.1875,14.75,11.75
2.733224,87,0,-10.08,2.1484375,-10.9375,69849,77.30000000000001,13.625,14.875,14.375,13.21875
2.74989,87.08,0,-8.93,0.484375,-12.04296875,76417,78,13.71875,15.09375,14.59375,12
2.766556,88,0,-6.96,-0.62109375,-13.609375,76417,78.9,13.625,14.78125,14.25,11.09375
2.783222,87.5,0,-3.78,0.41796875,-7.171875,76417,79.9,12.40625,15.09375,14.71875,9.8125
2.799888,88,0,-0.64,0.03125,-8.8359375,76417,81.7,0.5,16.59375,16.4375,8.25
2.816554,87.5,0,2.07,0.7734375,-6.12109375,76437,81.30000000000001,10.0625,14.21875,14.125,6.53125
2.83322,87.91,0,4.21,-1.62109375,-11.109375,76437,82.30000000000001,0.8125,15.71875,15.78125,7.5625
2.849886,87.5,0,4.97,-1.16796875,-4.36328125,59673,81.60000000000001,12,12.65625,12.9375,9.28125
2.866552,87,0,6.86,-0.33203125,-11.8828125,59673,82.9,7,14.65625,14.875,12
2.883218,87,0,7.45,-1.89453125,-12.66015625,49697,82.5,12.40625,13,13.375,12.25
2.899884,87,0,7.1000000000000005,-1.71875,-13.328125,49697,82.2,12.6875,13.0625,13.40625,12.90625
2.91655,87,0,5.87,0.3515625,-13.4609375,69596,82.9,12.625,13.28125,13.5625,12.0625
2.933216,87,0,3.89,-0.9296875,-12.39453125,69304,82.4,12.40625,13.21875,13.5,12.78125
2.949882,87,0,1.9000000000000001,0.0234375,-11.0859375,69304,83,12.6875,13.90625,14.125,12.90625
2.966548,87,0,0.15,-0.94921875,-10.40625,69304,83.7,12.625,13.53125,13.625,12.6875
2.9832140000000003,87,0,-1.29,-1.67578125,-11.2734375,69304,84,12.625,13.71875,13.6875,10.3125
2.99988,87.53,0,-3.15,-1.16796875,-9.44140625,78000,84.9,12.84375,14,13.84375,4.5
3.016546,87.5,0,-5.42,-1.171875,-10.73046875,78000,83.7,12.28125,12.75,12.6875,11.53125
3.0332120000000002,87.5,0,-7.55,2.578125,-11.33984375,76387,84,12.65625,14.28125,14.0625,7.59375
3.049878,87.5,0,-8.62,1.36328125,-10.01171875,76387,84.2,12.59375,13.71875,13.4375,11
3.066544,87,0,-8.49,1.51953125,-11.359375,76320,84.30000000000001,12.5625,14.21875,13.875,7.25
3.0832100000000002,87,0,-8.57,0.09765625,-11.84765625,73326,83.2,12.28125,13.625,13.21875,11.96875
3.099876,87,0,-8.64,0.625,-12.16015625,73326,80.9,12.28125,14.40625,14.03125,10.09375
3.116542,87,0,-8.34,1.83984375,-11.44140625,73197,80.30000000000001,12.28125,14.3125,13.875,12
3.133208,87,0,-7.58,0.703125,-11.578125,73197,79.7,12.21875,14.5,14.125,12.375
3.149874,87.04,0,-6.82,1.03515625,-12.72265625,75074,78.5,12.09375,14.6875,14.3125,10.375
3.16654,87.5,0,-6.73,0.98046875,-12.96875,75074,78.30000000000001,11.75,14.125,13.78125,11.9375
3.183206,87,0,-5.16,0.9375,-9.84375,77048,77.10000000000001,11.9375,14.8125,14.53125,11.96875
3.199872,87.05,0,-2.91,2.296875,-11.40625,77048,77.80000000000001,11.75,14.40625,14.21875,12.125
3.216538,87,0,-1.02,0.390625,-13.50390625,76860,78,11.75,14.65625,14.46875,12.3125
3.233204,87,0,-0.16,-2.39453125,-12.078125,76832,76.3,11.5,14.6875,14.65625,12.3125
3.24987,87,0,0.13,0.53515625,-12.72265625,76832,74.4,11.21875,14.78125,14.8125,12.46875
3.266536,87,0,1.02,1.0390625,-13.4765625,76832,74.60000000000001,11.3125,14.90625,14.9375,12.375
3.283202,87,0,3.49,0.2734375,-10.22265625,76677,75.5,11.3125,15.1875,15.21875,12.375
3.299868,87.5,0,5.2,-2.16015625,-12.0625,78394,76,11.34375,15.03125,15.34375,12.28125
3.316534,87.5,0,4.87,-2.0859375,-14.4609375,78394,76.4,11.21875,15,15.1875,12.28125
3.3332,87,0,2.9,-2.43359375,-12.64453125,78658,74.5,11,15.125,15.375,12.34375
3.349866,87,0,1.98,-0.578125,-15.14453125,78658,72.9,11.0625,15.84375,15.90625,12.125
3.366532,87,0,1.1400000000000001,-3.625,-10.18359375,77917,71.60000000000001,11.15625,16.21875,16.28125,12.3125
3.383198,87,0,-1.06,-3.41796875,-12.41796875,77383,71.2,11.125,16.5625,16.59375,12.34375
3.399864,87,0,-2.54,-2.859375,-9.64453125,77383,71.60000000000001,11.09375,16.5625,16.53125,12.1875
3.41653,87,0,-3.11,0.53125,-10.1484375,79028,72.3,11.125,16.59375,16.46875,12
3.433196,87,0,-3.52,-1.33203125,-11.86328125,79028,73.2,11.0625,16.6875,16.5,12.03125
3.449862,87,0,-4.06,-2.203125,-13.703125,79343,73.8,11,16.53125,16.40625,11.78125
3.4665280000000003,87,0,-3.69,0.56640625,-12.36328125,79343,74.3,11.09375,16.8125,16.5,11.6875
3.483194,87,0,-2.89,-0.375,-15.8984375,78954,75.7,11.09375,16.96875,16.6875,11.4375
3.49986,87,0,-2.46,-3.5,-10.57421875,78954,76.4,11.3125,17.0625,16.96875,11.1875
3.5165260000000003,87,0,-2.21,0.625,-9.640625,78925,76.9,11.21875,17.09375,16.875,11.1875
3.533192,87,0,-1.72,-1.1640625,-10.9140625,78925,77.80000000000001,11.1875,17,16.78125,11.125
3.549858,88,0,-1.41,-1.57421875,-9.7265625,78943,78.4,11.125,16.71875,16.5625,10.9375
3.5665240000000002,87.5,0,-2.37,-1.84765625,-11.61328125,79474,79.2,10.875,16.46875,16.40625,10.8125
3.58319,87,0,-2.71,2.90234375,-9.26953125,79474,79.5,10.9375,16.5,16.3125,10.75
3.599856,87,0,-3.18,0.37109375,-10.3046875,79531,80.2,10.8125,16.40625,16.21875,10.6875
3.6165220000000002,87.22,0,-4.13,0.453125,-11.5546875,79531,81.10000000000001,10.8125,16.21875,16.125,10.65625
3.633188,87.5,0,-5.3,1.73046875,-7.89453125,79420,81.5,10.59375,16.125,15.90625,10.59375
