timestamps,AMK_Torque_FL,AMK_Torque_FR,AMK_Torque_RL,AMK_Torque_RR,DCM_APPS_Throttle,DCM_Brake_Recu,Groundspeed_Vel,Gyro_Mov_Acc_Y,Gyro_Mov_Acc_X,HV_CurrentSensor_W
4.0341,-0.1,-0.1,0,0,0,0,0,-0.5,-0.5,123
4.0508,0,-0.1,0,-0.1,0,0,0,-0.5,-0.5,123
4.0675,0,-0.1,0,0,0,0,0,-0.6,-0.6,122
4.0841,-0.1,0,0,-0.1,0,0,0,-0.5,-0.5,122
4.1008,-0.1,0,0,0,0,0,0,-0.4,-0.4,122
4.1175,0,0,0,0,0,0,0,-0.4,-0.4,122
4.1342,0,-0.1,-0.1,0,0,0,0,-0.5,-0.5,123
4.1508,0,-0.1,0,0,0,0,0,-0.5,-0.5,123
4.1675,0,0,0,0,0,0,0,-0.4,-0.4,123
4.1842,-0.1,-0.1,0,0,0,0,0,-0.4,-0.4,122
4.2008,0,-0.1,-0.1,0,0,0,0,-0.5,-0.5,122
4.2175,0,0,-0.1,-0.1,0,0,0,-0.4,-0.4,122
4.2342,-0.2,0,0,0,0,0,0,-0.5,-0.5,122
4.2508,0,-0.1,0,0,0,0,0,-0.4,-0.4,122
4.2675,0,0,-0.3,0,0,0,0,-0.4,-0.4,121
4.2842,-0.1,-0.1,0,-0.1,0,0.1,0,-0.3,-0.3,121
4.3009,0,-0.1,-0.1,-0.1,0,0.5,0,-0.3,-0.3,122
4.3175,-0.1,0,0,-0.2,0,0.9,0,-0.3,-0.3,122
4.3342,-0.1,-0.2,-0.1,0,0,1.1,0,-0.3,-0.3,122
4.3509,0,0,0,0,0,1.2,0,-0.3,-0.3,122
4.3675,0,0,0,0,0,1.1,0,-0.4,-0.4,122
4.3842,-0.1,0,-0.1,0,0,1,0,-0.5,-0.5,121
4.4009,-0.1,0,0,0,0,1.1,0,-0.4,-0.4,121
4.4175,0,0,0,0,0,1.3,0,-0.3,-0.3,121
4.4342,0,-0.1,0,0,0,1.7,0,-0.3,-0.3,121
4.4509,0,0,0,-0.1,0,1.5,0,-0.4,-0.4,121
4.4676,0,0,0,-0.1,0,1.3,0,-0.5,-0.5,121
4.4842,0,0,0,0,0,1.3,0,-0.4,-0.4,121
4.5009,-0.1,-0.1,0,-0.1,0,1.8,0,-0.4,-0.4,121
4.5176,-0.1,0,0,0,0,2.2,0,-0.4,-0.4,121
4.5342,0,-0.2,0,0,0,2,0,-0.3,-0.3,122
4.5509,0,0,0,0,0,2.2,0,-0.3,-0.3,122
4.5676,-0.1,0,0,0,0,1.9,0,-0.3,-0.3,121
4.5842,-0.1,0,0,0,0,1.9,0,-0.4,-0.4,121
4.6009,0,0,0,0,0,2.2,0,-0.4,-0.4,121
4.6176,0,0,-0.1,0,0,2.1,0,-0.5,-0.5,121
4.6343,0,0,0,0,0,2.9,0,-0.3,-0.3,121
4.6509,0,-0.1,0,-0.1,0,2.2,0,-0.4,-0.4,121
4.6676,-0.2,0,0,-0.1,0,2.5,0,-0.5,-0.5,121
4.6843,-0.1,0,0,-0.1,0,2.4,0,-0.7,-0.7,121
4.7009,0,-0.1,0,-0.1,0,2.5,0,-0.7,-0.7,121
4.7176,-0.1,-0.1,-0.1,0,0,2.8,0,-0.6,-0.6,120
4.7343,0,0,0,0,0,2.6,0,-0.5,-0.5,120
4.7509,0,-0.1,0,-0.1,0,2.2,0,-0.4,-0.4,120
4.7676,-0.1,0,0,0,0,1.8,0,-0.4,-0.4,120
4.7843,0,-0.1,-0.1,0,0,1.7,0,-0.2,-0.2,120
4.801,0,-0.1,0,-0.1,0,1.8,0,-0.1,-0.1,120
4.8176,-0.1,0,-0.1,0,0.4,1.7,0,-0.1,-0.1,120
4.8343,-0.1,0,-0.1,-0.2,4,1.6,0,-1.6,-1.6,178
4.851,4.1,4.8,7.2,7.8,16.5,2.4,0,-4,-4,236
4.8676,24.6,23.9,43.4,43.8,39.6,1.8,0,-8.4,-8.4,949
4.8843,60.8,63.1,117.2,117,68.9,0,0,-12.5,-12.5,1605
4.901,111.6,114.3,208.6,210,97.5,0,0,-15.5,-15.5,4279
4.9176,164.4,168.2,253.5,255.8,100,0,0,-15.6,-15.6,6297
4.9343,176.8,181.4,258.8,258.1,100,0,0,-13.7,-13.7,9629
4.951,175.2,183.1,260.2,260.3,100,0,4,-12.4,-12.4,10943
4.9677,170.7,181.8,259.3,262,100,0,4,-12.1,-12.1,13957
4.9843,173.5,182.8,257.5,261.9,100,0,4,-13.2,-13.2,15659
5.001,167.9,184.9,261.4,258.2,100,0,0,-14.1,-14.1,18399
5.0177,2.1,185.3,258.1,261.3,100,0,0,-14.9,-14.9,17610
5.0343,8.8,73.2,261,260.6,100,0,0,-15.3,-15.3,16821
5.051,32.6,60.5,260,257.7,100,0,0,-15.5,-15.5,15208
5.0677,101.5,169.4,263,260.6,100,0,0,-15.4,-15.4,15424
5.0844,141.1,136.2,259.4,262.4,100,0,0,-15,-15,17066
5.101,95.8,189.6,259.3,257.7,100,0,11,-15.1,-15.1,18977
5.1177,107.6,153.4,261.3,260,100,0,12,-15.4,-15.4,20881
5.1344,145.3,149.6,257.8,259.3,100,0,12,-15.7,-15.7,22356
5.151,144.3,192,254.3,271,100,0,12,-15.5,-15.5,23347
5.1677,128.2,185.1,260.1,261.6,100,0,0,-15.4,-15.4,25054
5.1844,129.6,176.8,276.2,243.9,100,0,0,-14.8,-14.8,25765
5.201,148.5,170.1,255.2,245.2,100,0,17,-14.6,-14.6,26992
5.2177,111.2,157.4,253.7,249.5,100,0,17,-14.7,-14.7,27508
5.2344,101.7,191.6,262.9,252.9,100,0,18,-15.3,-15.3,28520
5.251,160.7,164.5,263.5,257,100,0,19,-15.1,-15.1,29847
5.2677,129.5,185.8,258.6,260.8,100,0,19,-14.6,-14.6,31174
5.2844,131.6,174.1,261,258.8,100,0,20,-14,-14,32164
5.3011,122.1,165.5,259.1,261.5,100,0,22,-14.1,-14.1,32321
5.3177,111,160.9,262.4,258.5,100,0,23,-14.3,-14.3,33113
5.3344,107.3,147.1,262.9,260.7,100,0,23,-14.2,-14.2,33748
5.3511,114.2,194,259.5,260.2,100,0,24,-14.3,-14.3,35592
5.3677,155.1,190.6,259.1,261.6,100,0,25,-14.4,-14.4,36803
5.3844,121.5,187.8,258.7,258.9,100,0,25,-15,-15,38608
5.4011,121.1,188.2,261.9,262.4,100,0,25,-15,-15,39800
5.4177,115.6,187.3,261.8,260.1,100,0,28,-14.6,-14.6,40993
5.4344,105.6,190.3,260.1,262.5,100,0,28,-13.6,-13.6,42212
5.4511,163.6,186,260.5,266.9,100,0,29,-14,-14,42835
5.4678,125.9,182,253.3,270.6,100,0,29,-14.8,-14.8,44249
5.4844,113,188.5,264.1,249.3,100,0,30,-15.4,-15.4,45042
5.5011,149.5,182.4,271.8,270.7,100,0,33,-15.2,-15.2,46589
5.5178,143.4,183.9,263.8,263.1,100,0,33,-14.6,-14.6,47948
5.5344,130.2,185.2,254.6,254.6,100,0,33,-14.7,-14.7,49306
5.5511,115.3,183,260.3,258.5,100,0,34,-14.7,-14.7,50436
5.5678,119.8,183.4,257.4,261.3,100,0,36,-14.8,-14.8,50942
5.5844,145.3,184.2,260.4,259.1,100,0,36,-14.8,-14.8,51898
5.6011,127.2,183.4,258.1,259,100,0,37,-14.6,-14.6,52326
